"COLLISION_ID","CRASH_DATE","CRASH_TIME","BOROUGH","ZIP_CODE","LATITUDE","LONGITUDE","LOCATION","ON_STREET_NAME","CROSS_STREET_NAME","NUMBER_OF_PERSONS_INJURED","NUMBER_OF_PERSONS_KILLED","NUMBER_OF_PEDESTRIANS_INJURED","NUMBER_OF_PEDESTRIANS_KILLED","NUMBER_OF_CYCLIST_INJURED","NUMBER_OF_CYCLIST_KILLED","NUMBER_OF_MOTORIST_INJURED","NUMBER_OF_MOTORIST_KILLED","CONTRIBUTING_FACTOR_VEHICLE_1","VEHICLE_TYPE_CODE_1","VEHICLE_TYPE_CODE_2","CRASH_YEAR","CRASH_MONTH"
4136992,"2019-05-21","22:50","BROOKLYN",11201,40.69754,-73.98312,"40.69754, -73.98312","GOLD STREET","CONCORD STREET",0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","�MBU","Taxi",2019,5
4403773,"2021-03-31","22:20","BROOKLYN",11234,40.626457,-73.918,"40.626457, -73.918","RALPH AVENUE","AVENUE K",1,0,0,0,0,0,1,0,"Driver Inexperience","Sedan","Sedan",2021,3
4405244,"2021-04-06","22:58","STATEN ISLAND",10312,40.526894,-74.16728,"40.526894, -74.16728","BARCLAY AVENUE","HYLAN BOULEVARD",7,0,0,0,0,0,7,0,"Failure to Yield Right-of-Way","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",2021,4
4407900,"2021-04-16","17:40","BRONX",10474,40.815,-73.89402,"40.815, -73.89402","GARRISON AVENUE","LONGWOOD AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Sedan","Sedan",2021,4
4408143,"2021-04-16","16:35","BRONX",10475,40.890076,-73.819855,"40.890076, -73.819855","BOSTON ROAD","ROPES AVENUE",2,0,0,0,0,0,2,0,"Unsafe Speed","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",2021,4
4407638,"2021-04-15","17:20","BROOKLYN",11236,40.650402,-73.89422,"40.650402, -73.89422","GLENWOOD ROAD","EAST 108 STREET",1,0,0,0,0,0,1,0,"Following Too Closely","Sedan","Van",2021,4
4407885,"2021-04-16","17:20","MANHATTAN",10012,40.72538,-74.00011,"40.72538, -74.00011","PRINCE STREET","WOOSTER STREET",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle","Sedan",2021,4
4407616,"2021-04-15","14:30","QUEENS",11377,40.75184,-73.90358,"40.75184, -73.90358","BROADWAY","58 STREET",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Sedan","Station Wagon/Sport Utility Vehicle",2021,4
4408038,"2021-04-16","23:20","BROOKLYN",11226,40.649788,-73.9622,"40.649788, -73.9622","EAST 19 STREET","CHURCH AVENUE",3,0,0,0,0,0,3,0,"Unspecified","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",2021,4
4407592,"2021-04-15","12:16","BRONX",10460,40.841087,-73.86447,"40.841087, -73.86447","EAST TREMONT AVENUE","WHITE PLAINS ROAD",0,0,0,0,0,0,0,0,"Traffic Control Disregarded","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",2021,4
4407853,"2021-04-16","17:00","QUEENS",11366,40.73197,-73.78651,"40.73197, -73.78651","73 AVENUE","184 STREET",5,0,0,0,0,0,5,0,"Traffic Control Disregarded","Sedan","Station Wagon/Sport Utility Vehicle",2021,4
4408242,"2021-04-12","16:08","BROOKLYN",11221,40.696735,-73.93481,"40.696735, -73.93481","BROADWAY","STUYVESANT AVENUE",1,0,0,0,0,0,1,0,"Unspecified","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",2021,4
4407798,"2021-04-16","8:05","QUEENS",11102,40.775414,-73.91984,"40.775414, -73.91984","24 STREET","24 AVENUE",1,0,0,0,0,0,1,0,"Following Too Closely","Station Wagon/Sport Utility Vehicle","Sedan",2021,4
4407349,"2021-04-14","16:30","STATEN ISLAND",10308,40.542908,-74.15579,"40.542908, -74.15579","ARMSTRONG AVENUE","SYCAMORE STREET",2,0,0,0,0,0,2,0,"Failure to Yield Right-of-Way","Station Wagon/Sport Utility Vehicle","Sedan",2021,4
4407478,"2021-04-15","6:05","BROOKLYN",11237,40.714207,-73.92817,"40.714207, -73.92817","METROPOLITAN AVENUE","STEWART AVENUE",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Sedan","Sedan",2021,4
4407753,"2021-04-16","6:45","BROOKLYN",11221,40.691822,-73.92223,"40.691822, -73.92223","BUSHWICK AVENUE","GROVE STREET",0,0,0,0,0,0,0,0,"Reaction to Uninvolved Vehicle","Station Wagon/Sport Utility Vehicle","Garbage or Refuse",2021,4
4408003,"2021-04-10","12:00","BRONX",10453,40.856014,-73.91213,"40.856014, -73.91213","WEST 180 STREET","ANDREWS AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Sedan","Station Wagon/Sport Utility Vehicle",2021,4
4407525,"2021-04-14","19:10","BROOKLYN",11218,40.642044,-73.98124,"40.642044, -73.98124","STORY STREET","CHURCH AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Sedan","Station Wagon/Sport Utility Vehicle",2021,4
4407817,"2021-04-16","13:55","QUEENS",11385,40.69814,-73.89111,"40.69814, -73.89111","COOPER AVENUE","64 PLACE",0,0,0,0,0,0,0,0,"Unsafe Speed","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",2021,4
4407539,"2021-04-14","0:00","BROOKLYN",11203,40.64664,-73.9246,"40.64664, -73.9246","KINGS HIGHWAY","BEVERLEY ROAD",2,0,0,0,0,0,2,0,"Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle","PK",2021,4
4407282,"2021-04-14","10:09","MANHATTAN",10016,40.74608,-73.974945,"40.74608, -73.974945","2 AVENUE","EAST 36 STREET",0,0,0,0,0,0,0,0,"Unspecified","Tow Truck / Wrecker","Dump",2021,4
4407688,"2021-04-16","0:01","BROOKLYN",11228,40.626293,-74.01572,"40.626293, -74.01572","FORT HAMILTON PARKWAY","74 STREET",0,0,0,0,0,0,0,0,"Driver Inexperience","Station Wagon/Sport Utility Vehicle","Sedan",2021,4
4408052,"2021-04-15","10:45","BROOKLYN",11224,40.579212,-73.976265,"40.579212, -73.976265","WEST 8 STREET","SHEEPSHEAD BAY ROAD",0,0,0,0,0,0,0,0,"Following Too Closely","Station Wagon/Sport Utility Vehicle","Sedan",2021,4
4407849,"2021-04-16","12:00","STATEN ISLAND",10306,40.57365,-74.11252,"40.57365, -74.11252","EDISON STREET","BACHE AVENUE",0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Sedan","Sedan",2021,4
