"day","new_time","numCrash","time_slot"
"Friday",0,430,"00:00-01:59"
"Friday",1,150,"02:00-03:59"
"Friday",2,164,"04:00-05:59"
"Friday",3,405,"06:00-07:59"
"Friday",4,693,"08:00-09:59"
"Friday",5,630,"10:00-11:59"
"Friday",6,763,"12:00-13:59"
"Friday",7,1053,"14:00-15:59"
"Friday",8,1098,"16:00-17:59"
"Friday",9,938,"18:00-19:59"
"Friday",10,723,"20:00-21:59"
"Friday",11,633,"22:00-23:59"
"Monday",0,375,"00:00-01:59"
"Monday",1,135,"02:00-03:59"
"Monday",2,184,"04:00-05:59"
"Monday",3,447,"06:00-07:59"
"Monday",4,725,"08:00-09:59"
"Monday",5,587,"10:00-11:59"
"Monday",6,740,"12:00-13:59"
"Monday",7,884,"14:00-15:59"
"Monday",8,1063,"16:00-17:59"
"Monday",9,863,"18:00-19:59"
"Monday",10,655,"20:00-21:59"
"Monday",11,414,"22:00-23:59"
"Saturday",0,473,"00:00-01:59"
"Saturday",1,319,"02:00-03:59"
"Saturday",2,272,"04:00-05:59"
"Saturday",3,247,"06:00-07:59"
"Saturday",4,411,"08:00-09:59"
"Saturday",5,561,"10:00-11:59"
"Saturday",6,743,"12:00-13:59"
"Saturday",7,885,"14:00-15:59"
"Saturday",8,916,"16:00-17:59"
"Saturday",9,843,"18:00-19:59"
"Saturday",10,729,"20:00-21:59"
"Saturday",11,691,"22:00-23:59"
"Sunday",0,590,"00:00-01:59"
"Sunday",1,384,"02:00-03:59"
"Sunday",2,331,"04:00-05:59"
"Sunday",3,215,"06:00-07:59"
"Sunday",4,308,"08:00-09:59"
"Sunday",5,456,"10:00-11:59"
"Sunday",6,631,"12:00-13:59"
"Sunday",7,844,"14:00-15:59"
"Sunday",8,769,"16:00-17:59"
"Sunday",9,767,"18:00-19:59"
"Sunday",10,671,"20:00-21:59"
"Sunday",11,502,"22:00-23:59"
"Thursday",0,357,"00:00-01:59"
"Thursday",1,110,"02:00-03:59"
"Thursday",2,165,"04:00-05:59"
"Thursday",3,429,"06:00-07:59"
"Thursday",4,741,"08:00-09:59"
"Thursday",5,663,"10:00-11:59"
"Thursday",6,782,"12:00-13:59"
"Thursday",7,989,"14:00-15:59"
"Thursday",8,1094,"16:00-17:59"
"Thursday",9,918,"18:00-19:59"
"Thursday",10,721,"20:00-21:59"
"Thursday",11,532,"22:00-23:59"
"Tuesday",0,293,"00:00-01:59"
"Tuesday",1,103,"02:00-03:59"
"Tuesday",2,131,"04:00-05:59"
"Tuesday",3,397,"06:00-07:59"
"Tuesday",4,812,"08:00-09:59"
"Tuesday",5,620,"10:00-11:59"
"Tuesday",6,766,"12:00-13:59"
"Tuesday",7,1006,"14:00-15:59"
"Tuesday",8,1133,"16:00-17:59"
"Tuesday",9,920,"18:00-19:59"
"Tuesday",10,629,"20:00-21:59"
"Tuesday",11,487,"22:00-23:59"
"Wednesday",0,365,"00:00-01:59"
"Wednesday",1,100,"02:00-03:59"
"Wednesday",2,128,"04:00-05:59"
"Wednesday",3,458,"06:00-07:59"
"Wednesday",4,723,"08:00-09:59"
"Wednesday",5,589,"10:00-11:59"
"Wednesday",6,732,"12:00-13:59"
"Wednesday",7,974,"14:00-15:59"
"Wednesday",8,1140,"16:00-17:59"
"Wednesday",9,937,"18:00-19:59"
"Wednesday",10,663,"20:00-21:59"
"Wednesday",11,481,"22:00-23:59"
